name,id,name_type,rec_class,mass,fall,year,rec_lat,rec_long,location_type
Grayton,11177,Valid,Stony,11300.0,Found,1983.0,30.31167,-86.16667,Exact
Great Bend,11180,Valid,Stony,28770.0,Found,1983.0,38.395,-98.91583,Exact
Greaterville,11193,Valid,Stony,48.0,Found,1995.0,31.76167,-110.75,Exact
Greenbrier County,11194,Valid,Iron,5000.0,Found,1880.0,37.83333,-80.31667,Exact
Greener Reservoir,30666,Valid,Stony,45.0,Found,2004.0,39.49133,-112.942,Exact
Greenwell Springs,11195,Valid,Stony,664.0,Found,1987.0,30.51528,-91.01222,Exact
Gretna,11201,Valid,Stony,82000.0,Found,1912.0,39.93333,-99.21667,Exact
Grier (a),11202,Valid,Stony,12.4,Found,1969.0,34.38167,-103.39167,Exact
Grier (b),11203,Valid,Stony,929.4,Found,1969.0,34.26667,-103.38333,Exact
Griffith,11204,Valid,Iron,6000.0,Found,1985.0,33.71667,-102.81667,Exact
Griffith Wash,55289,Valid,Stony,93.0,Found,2011.0,35.06639,-114.0975,Exact
Gruver,11428,Valid,Stony,13100.0,Found,1934.0,36.33333,-101.4,Exact
Guadaloupe County,11430,Valid,Iron,20.5,Found,1950.0,29.5,-98.0,Exact
Guadalupe y Calvo,11431,Valid,Iron,58630.0,Found,1971.0,26.1,-106.96667,Exact
Guffey,11441,Valid,Iron,309000.0,Found,1907.0,38.76667,-105.51667,Exact
Guilford County,11444,Valid,Iron,1100.0,Found,1822.0,35.56667,-79.83333,Exact
Guin,11445,Valid,Iron,34500.0,Found,1969.0,33.96667,-87.91667,Exact
Gun Creek,11451,Valid,Iron,22700.0,Found,1909.0,34.0,-111.0,Exact
Gunlock,11453,Valid,Stony,6800.0,Found,1982.0,37.28333,-113.78333,Exact
Hagersville,11470,Valid,Iron,30000.0,Found,1999.0,42.96667,-80.15,Exact
Hale Center (no. 1),11477,Valid,Stony,610.0,Found,1936.0,34.05,-101.75,Exact
Hale Center (no. 2),11478,Valid,Stony,695.0,Found,1936.0,34.05,-101.75,Exact
Hamilton (Texas),11484,Valid,Stony,2700.0,Found,1965.0,31.59333,-98.25,Exact
Hammond,11813,Valid,Iron,24000.0,Found,1884.0,44.91667,-92.43333,Exact
Hangman Crossing,11816,Valid,Stony,1300.0,Found,1976.0,38.91972,-85.94722,Exact
Happy (a),11818,Valid,Stony,2860.0,Found,1971.0,35.68,-101.99333,Exact
Happy (b),11819,Valid,Stony,2505.0,Found,1972.0,34.59333,-101.99333,Exact
Happy (c),11820,Valid,Stony,884.3,Found,1971.0,34.58333,-102.05,Exact
Happy Canyon,11821,Valid,Stony,16300.0,Found,1971.0,34.80167,-101.56667,Exact
Hardesty,11825,Valid,Iron,8580.0,Found,1986.0,36.57,-101.19,Exact
Harding County,11826,Valid,Stony,3075.0,Found,1941.0,45.5,-103.5,Exact
Hardtner,11827,Valid,Stony,13000.0,Found,1972.0,37.06667,-98.66167,Exact
Hardwick,11828,Valid,Stony,7800.0,Found,1937.0,43.8,-96.16667,Exact
Harlowton,11831,Valid,Iron,4000.0,Found,1975.0,46.43333,-109.83333,Exact
Harper Dry Lake 001,11832,Valid,Stony,13.0,Found,1999.0,35.05102,-117.30672,Exact
Harper Dry Lake 002,11833,Valid,Stony,12.0,Found,1999.0,35.05067,-117.30095,Exact
Harper Dry Lake 003,11834,Valid,Stony,95.0,Found,1999.0,35.0425,-117.30837,Exact
